P,Q,QUEUESIZE,mean_time
1,2,1,93.35593220338983
1,2,10,92.62711864406779
1,2,100,94.32203389830508
1,6,1,100.77966101694915
1,6,10,99.33898305084746
1,6,100,98.44067796610169
1,10,1,102.86440677966101
1,10,10,104.35593220338983
1,10,100,105.0
6,2,1,100.11864406779661
6,2,10,102.67796610169492
6,2,100,103.38983050847457
6,6,1,105.33898305084746
6,6,10,106.08474576271186
6,6,100,108.15254237288136
6,10,1,109.61016949152543
6,10,10,112.50847457627118
6,10,100,109.66101694915254
10,2,1,101.10169491525424
10,2,10,101.08474576271186
10,2,100,102.11864406779661
10,6,1,109.08474576271186
10,6,10,106.89830508474576
10,6,100,108.47457627118644
10,10,1,112.38983050847457
10,10,10,110.35593220338983
10,10,100,111.38983050847457
